Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	NF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
			GND					BB41				
			GND					BB42				
			GND					BB7				
			GND					BC1				
			GND					BC14				
			GND					BC19				
			GND					BC2				
			GND					BC24				
			GND					BC29				
			GND					BC34				
			GND					BC38				
			GND					BC39				
			GND					BC40				
			GND					BC43				
			GND					BC44				
			GND					BC5				
			GND					BC6				
			GND					BC7				
			GND					BD12				
			GND					BD17				
			GND					BD2				
			GND					BD22				
			GND					BD27				
			GND					BD3				
			GND					BD32				
			GND					BD36				
			GND					BD38				
			GND					BD4				
			GND					BD41				
			GND					BD42				
			GND					BD43				
			GND					BD7				
			GND					BD9				
			GND					C1				
			GND					C14				
			GND					C19				
			GND					C2				
			GND					C24				
			GND					C29				
			GND					C34				
			GND					C38				
			GND					C39				
			GND					C40				
			GND					C43				
			GND					C44				
			GND					C5				
			GND					C6				
			GND					C7				
			GND					C9				
			GND					D12				
			GND					D17				
			GND					D22				
			GND					D27				
			GND					D3				
			GND					D32				
			GND					D37				
			GND					D38				
			GND					D4				
			GND					D41				
			GND					D42				
			GND					D7				
			GND					E1				
			GND					E10				
			GND					E15				
			GND					E2				
			GND					E20				
			GND					E25				
			GND					E30				
			GND					E35				
			GND					E38				
			GND					E39				
			GND					E40				
			GND					E43				
			GND					E44				
			GND					E5				
			GND					E6				
			GND					E7				
			GND					F13				
			GND					F18				
			GND					F23				
			GND					F28				
			GND					F3				
			GND					F38				
			GND					F4				
			GND					F40				
			GND					F41				
			GND					F42				
			GND					F5				
			GND					F8				
			GND					G1				
			GND					G11				
			GND					G16				
			GND					G2				
			GND					G21				
			GND					G36				
			GND					G40				
			GND					G43				
			GND					G44				
			GND					G5				
			GND					G6				
			GND					H14				
			GND					H19				
			GND					H3				
			GND					H34				
			GND					H39				
			GND					H4				
			GND					H40				
			GND					H41				
			GND					H42				
			GND					H5				
			GND					H9				
			GND					J1				
			GND					J12				
			GND					J17				
			GND					J2				
			GND					J27				
			GND					J32				
			GND					J37				
			GND					J40				
			GND					J43				
			GND					J44				
			GND					J5				
			GND					J7				
			GND					K10				
			GND					K3				
			GND					K30				
			GND					K35				
			GND					K4				
			GND					K40				
			GND					K41				
			GND					K42				
			GND					K5				
			GND					L1				
			GND					L18				
			GND					L2				
			GND					L23				
			GND					L28				
			GND					L33				
			GND					L38				
			GND					L40				
			GND					L43				
			GND					L44				
			GND					L5				
			GND					L8				
			GND					M11				
			GND					M21				
			GND					M26				
			GND					M3				
			GND					M31				
			GND					M36				
			GND					M4				
			GND					M40				
			GND					M41				
			GND					M42				
			GND					M5				
			GND					M6				
			GND					N1				
			GND					N2				
			GND					N24				
			GND					N29				
			GND					N39				
			GND					N40				
			GND					N43				
			GND					N44				
			GND					N5				
			GND					N9				
			GND					P22				
			GND					P27				
			GND					P3				
			GND					P32				
			GND					P37				
			GND					P38				
			GND					P39				
			GND					P4				
			GND					P40				
			GND					P41				
			GND					P42				
			GND					P5				
			GND					P6				
			GND					P7				
			GND					P8				
			GND					R1				
			GND					R15				
			GND					R2				
			GND					R20				
			GND					R25				
			GND					R30				
			GND					R35				
			GND					R37				
			GND					R43				
			GND					R44				
			GND					R8				
			GND					T13				
			GND					T18				
			GND					T23				
			GND					T28				
			GND					T3				
			GND					T37				
			GND					T38				
			GND					T4				
			GND					T41				
			GND					T42				
			GND					T7				
			GND					T8				
			GND					U1				
			GND					U14				
			GND					U16				
			GND					U2				
			GND					U21				
			GND					U26				
			GND					U36				
			GND					U37				
			GND					U38				
			GND					U43				
			GND					U44				
			GND					U7				
			GND					V19				
			GND					V24				
			GND					V29				
			GND					V3				
			GND					V34				
			GND					V37				
			GND					V38				
			GND					V4				
			GND					V41				
			GND					V42				
			GND					V7				
			GND					V8				
			GND					W1				
			GND					W12				
			GND					W17				
			GND					W2				
			GND					W22				
			GND					W27				
			GND					W32				
			GND					W37				
			GND					W43				
			GND					W44				
			GND					W8				
			GND					Y10				
			GND					Y15				
			GND					Y20				
			GND					Y25				
			GND					Y3				
			GND					Y30				
			GND					Y35				
			GND					Y37				
			GND					Y38				
			GND					Y4				
			GND					Y41				
			GND					Y42				
			GND					Y7				
			GND					Y8				
			GNDSENSE					AE22				
			VCC					AA15				
			VCC					AA16				
			VCC					AA17				
			VCC					AA19				
			VCC					AA20				
			VCC					AA21				
			VCC					AA22				
			VCC					AA24				
			VCC					AA25				
			VCC					AA26				
			VCC					AA27				
			VCC					AA29				
			VCC					AA30				
			VCC					AB15				
			VCC					AB17				
			VCC					AB18				
			VCC					AB19				
			VCC					AB20				
			VCC					AB25				
			VCC					AB27				
			VCC					AB28				
			VCC					AB29				
			VCC					AB30				
			VCC					AC16				
			VCC					AC20				
			VCC					AC22				
			VCC					AC25				
			VCC					AC26				
			VCC					AD15				
			VCC					AD16				
			VCC					AD18				
			VCC					AD19				
			VCC					AD20				
			VCC					AD21				
			VCC					AD23				
			VCC					AD24				
			VCC					AD25				
			VCC					AD26				
			VCC					AD28				
			VCC					AD29				
			VCC					AD30				
			VCC					AE16				
			VCC					AE17				
			VCC					AE18				
			VCC					AE19				
			VCC					AE21				
			VCC					AE24				
			VCC					AE26				
			VCC					AE27				
			VCC					AE28				
			VCC					AE29				
			VCC					AF17				
			VCC					AF19				
			VCC					AF24				
			VCC					AF27				
			VCC					AF29				
			VCC					AG15				
			VCC					AG18				
			VCC					AG27				
			VCC					AG30				
			VCC					AH15				
			VCC					AH16				
			VCC					AH17				
			VCC					AH18				
			VCC					AH20				
			VCC					AH21				
			VCC					AH22				
			VCC					AH23				
			VCC					AH25				
			VCC					AH26				
			VCC					AH27				
			VCC					AH28				
			VCC					AH30				
			VCC					AJ15				
			VCC					AJ16				
			VCC					AJ18				
			VCC					AJ19				
			VCC					AJ20				
			VCC					AJ21				
			VCC					AJ23				
			VCC					AJ24				
			VCC					AJ25				
			VCC					AJ26				
			VCC					AJ28				
			VCC					AJ29				
			VCC					AJ30				
			VCC					AK16				
			VCC					AK17				
			VCC					AK18				
			VCC					AK19				
			VCC					AK21				
			VCC					AK22				
			VCC					AK23				
			VCC					AK24				
			VCC					AK26				
			VCC					AK27				
			VCC					AK28				
			VCC					AK29				
			VCC					AL16				
			VCC					AL17				
			VCC					AL19				
			VCC					AL20				
			VCC					AL21				
			VCC					AL24				
			VCC					AL25				
			VCC					AL26				
			VCC					AL29				
			VCC					P16				
			VCC					P19				
			VCC					P29				
			VCC					R16				
			VCC					R17				
			VCC					R18				
			VCC					R19				
			VCC					R21				
			VCC					R22				
			VCC					R23				
			VCC					R24				
			VCC					R26				
			VCC					R27				
			VCC					R28				
			VCC					R29				
			VCC					T15				
			VCC					T16				
			VCC					T17				
			VCC					T19				
			VCC					T20				
			VCC					T21				
			VCC					T22				
			VCC					T24				
			VCC					T25				
			VCC					T26				
			VCC					T27				
			VCC					T29				
			VCC					T30				
			VCC					U15				
			VCC					U17				
			VCC					U18				
			VCC					U19				
			VCC					U20				
			VCC					U22				
			VCC					U23				
			VCC					U24				
			VCC					U25				
			VCC					U27				
			VCC					U28				
			VCC					U29				
			VCC					U30				
			VCC					V15				
			VCC					V17				
			VCC					V26				
			VCC					V27				
			VCC					V28				
			VCC					V30				
			VCC					W18				
			VCC					W19				
			VCC					W24				
			VCC					Y16				
			VCC					Y17				
			VCC					Y18				
			VCC					Y19				
			VCC					Y21				
			VCC					Y22				
			VCC					Y23				
			VCC					Y24				
			VCC					Y26				
			VCC					Y27				
			VCC					Y28				
			VCC					Y29				
			VCCPT					AG17				
			VCCPT					AG19				
			VCCPT					AG20				
			VCCPT					AG22				
			VCCPT					AG24				
			VCCPT					AG25				
			VCCPT					AG29				
			VCCPT					V16				
			VCCPT					V18				
			VCCPT					V20				
			VCCPT					V21				
			VCCPT					V23				
			VCCPT					V25				
			VCCPT					W29				
			DNU					BC36				
			DNU					BC37				
			DNU					BC9				
			DNU					BC8				
			DNU					AN23				
			DNU					AU23				
			DNU					AU22				
			DNU					AR23				
			VCCPGM					AL22				
			VCCPGM					AM22				
			TEMPDIODEn					P21				
			TEMPDIODEp					N21				
			VCCBAT					AN22				
			VCCA_PLL					AB22				
			VCCA_PLL					AB23				
			VCCA_PLL					AB24				
			VCCIO2A					AR25				
			VCCIO2A					AU26				
			VCCIO2A					AV24				
			VCCIO2F					AN29				
			VCCIO2F					AP27				
			VCCIO2F					AR30				
			VCCIO2G					AJ32				
			VCCIO2G					AL33				
			VCCIO2G					AM31				
			VCCIO2H					AG33				
			VCCIO2H					AG36				
			VCCIO2H					AK35				
			VCCIO2I					G26				
			VCCIO2I					H24				
			VCCIO2I					K25				
			VCCIO2J					AA33				
			VCCIO2J					AB31				
			VCCIO2J					AC34				
			VCCIO2K					N34				
			VCCIO2K					T33				
			VCCIO2K					U31				
			VCCIO2L					F33				
			VCCIO2L					G31				
			VCCIO2L					H29				
			VCCIO3A					AW17				
			VCCIO3A					AY15				
			VCCIO3A					BA18				
			VCCIO3B					AN14				
			VCCIO3B					AT13				
			VCCIO3B					AV14				
			VCCIO3C					AF13				
			VCCIO3C					AH14				
			VCCIO3C					AL13				
			VCCIO3D					AB11				
			VCCIO3D					AC9				
			VCCIO3D					V9				
			VCCIO3E					R10				
			VCCIO3E					U11				
			VCCIO3E					V14				
			VCCIO3F					L13				
			VCCIO3F					N14				
			VCCIO3F					P12				
			VCCIO3G					K15				
			VCCIO3G					M16				
			VCCIO3G					P17				
			VCCIO3H					J22				
			VCCIO3H					K20				
			VCCIO3H					N19				
2A		VREFB2AN0	VREFB2AN0					AM24				
2F		VREFB2FN0	VREFB2FN0					AL27				
2G		VREFB2GN0	VREFB2GN0					AJ31				
2H		VREFB2HN0	VREFB2HN0					AH31				
2I		VREFB2IN0	VREFB2IN0					M24				
2J		VREFB2JN0	VREFB2JN0					AD31				
2K		VREFB2KN0	VREFB2KN0					V31				
2L		VREFB2LN0	VREFB2LN0					P30				
3A		VREFB3AN0	VREFB3AN0					AN18				
3B		VREFB3BN0	VREFB3BN0					AL15				
3C		VREFB3CN0	VREFB3CN0					AA14				
3D		VREFB3DN0	VREFB3DN0					V11				
3E		VREFB3EN0	VREFB3EN0					U13				
3F		VREFB3FN0	VREFB3FN0					P14				
3G		VREFB3GN0	VREFB3GN0					P18				
3H		VREFB3HN0	VREFB3HN0					M22				
			VREFN_ADC					P24				
			VREFP_ADC					P25				
			NC					D28				
			NC					D29				
			NC					D30				
			NC					D31				
			NC					E27				
			NC					E28				
			NC					E29				
			NC					F27				
			NC					F29				
			NC					G27				
			NC					G28				
			NC					H27				
			NC					H28				
			NC					J28				
			NC					K26				
			NC					K27				
			NC					K28				
			NC					L26				
			NC					L27				
			NC					M25				
			NC					M27				
			NC					N25				
			NC					N26				
			NC					N27				
			NC					P26				
			VCCH_GXBL					AC38				
			VCCH_GXBL					AG38				
			VCCH_GXBL					R38				
			VCCH_GXBL					W38				
			VCCH_GXBR					AC7				
			VCCH_GXBR					AG7				
			VCCH_GXBR					R7				
			VCCH_GXBR					W7				
			VCCR_GXBL1C					AJ39				
			VCCR_GXBL1C					AJ40				
			VCCR_GXBL1D					AE39				
			VCCR_GXBL1D					AE40				
			VCCR_GXBL1E					AA39				
			VCCR_GXBL1E					AA40				
			VCCR_GXBL1F					U39				
			VCCR_GXBL1F					U40				
			VCCR_GXBR4C					AJ5				
			VCCR_GXBR4C					AJ6				
			VCCR_GXBR4D					AE5				
			VCCR_GXBR4D					AE6				
			VCCR_GXBR4E					AA5				
			VCCR_GXBR4E					AA6				
			VCCR_GXBR4F					U5				
			VCCR_GXBR4F					U6				
			VCCT_GXBL1C					AG39				
			VCCT_GXBL1C					AG40				
			VCCT_GXBL1D					AC39				
			VCCT_GXBL1D					AC40				
			VCCT_GXBL1E					W39				
			VCCT_GXBL1E					W40				
			VCCT_GXBL1F					R39				
			VCCT_GXBL1F					R40				
			VCCT_GXBR4C					AG5				
			VCCT_GXBR4C					AG6				
			VCCT_GXBR4D					AC5				
			VCCT_GXBR4D					AC6				
			VCCT_GXBR4E					W5				
			VCCT_GXBR4E					W6				
			VCCT_GXBR4F					R5				
			VCCT_GXBR4F					R6				
			RREF_BL					BD37				
			RREF_BR					BD8				
			RREF_TL					A37				
			RREF_TR					A8				
			VCCERAM					AC15				
			VCCERAM					AC17				
			VCCERAM					AC18				
			VCCERAM					AC21				
			VCCERAM					AC23				
			VCCERAM					AC27				
			VCCERAM					AC28				
			VCCERAM					AC30				
			VCCLSENSE					AE23				
			VCCP					AF15				
			VCCP					AF16				
			VCCP					AF20				
			VCCP					AF21				
			VCCP					AF22				
			VCCP					AF25				
			VCCP					AF26				
			VCCP					AF30				
			VCCP					AG23				
			VCCP					AG28				
			VCCP					V22				
			VCCP					W15				
			VCCP					W16				
			VCCP					W20				
			VCCP					W21				
			VCCP					W23				
			VCCP					W25				
			VCCP					W26				
			VCCP					W28				
			VCCP					W30				
			VSIGN_0					M23				
			VSIGN_1					N23				
			VSIGP_0					N22				
			VSIGP_1					P23				
Note:												
"(1) For more information about the external memory interface schemes of the pins with indices, refer to the"												
Arria10EMIF.xls												


"Pin Information for the Arria®10 10AX090 Device 
Version 1.5
"												
										
